Time (s) - Plot 0	Resistivity (Ohm*cm) - Plot 0	
813,321	2,07E+0	
814,83	2,08E+0	
816,338	2,08E+0	
817,845	2,08E+0	
819,353	2,08E+0	
820,927	2,07E+0	
822,434	2,07E+0	
823,94	2,07E+0	
825,463	2,07E+0	
826,972	2,07E+0	
828,479	2,07E+0	
829,989	2,07E+0	
831,499	2,07E+0	
833,008	2,06E+0	
834,516	2,06E+0	
836,024	2,06E+0	
837,53	2,06E+0	
839,039	2,06E+0	
840,548	2,06E+0	
842,056	2,06E+0	
843,564	2,06E+0	
845,071	2,06E+0	
846,58	2,06E+0	
848,088	2,06E+0	
849,596	2,06E+0	
851,104	2,06E+0	
852,611	2,05E+0	
854,12	2,05E+0	
855,629	2,05E+0	
857,137	2,05E+0	
858,645	2,05E+0	
860,153	2,05E+0	
861,662	2,05E+0	
863,17	2,05E+0	
864,678	2,05E+0	
866,186	2,05E+0	
867,694	2,05E+0	
869,203	2,05E+0	
870,711	2,04E+0	
872,219	2,04E+0	
873,726	2,04E+0	
875,237	2,04E+0	
876,745	2,04E+0	
878,254	2,04E+0	
879,762	2,04E+0	
881,27	2,04E+0	
882,775	2,04E+0	
884,284	2,04E+0	
885,793	2,04E+0	
887,302	2,04E+0	
888,811	2,04E+0	
890,319	2,03E+0	
891,828	2,03E+0	
893,337	2,03E+0	
894,846	2,03E+0	
896,353	2,03E+0	
897,861	2,03E+0	
899,37	2,03E+0	
900,879	2,03E+0	
902,388	2,03E+0	
903,895	2,03E+0	
905,4	2,03E+0	
906,909	2,03E+0	
908,419	2,02E+0	
909,928	2,02E+0	
911,435	2,02E+0	
912,941	2,02E+0	
914,45	2,02E+0	
915,958	2,02E+0	
917,467	2,02E+0	
918,975	2,02E+0	
920,482	2,02E+0	
921,988	2,02E+0	
923,497	2,02E+0	
925,006	2,01E+0	
926,514	2,01E+0	
928,021	2,01E+0	
929,528	2,01E+0	
931,037	2,01E+0	
932,545	2,01E+0	
934,053	2,01E+0	
935,56	2,01E+0	
937,066	2,01E+0	
938,575	2,01E+0	
940,084	2,01E+0	
941,593	2,01E+0	
943,102	2,01E+0	
944,608	2,01E+0	
946,117	2,01E+0	
947,624	2E+0	
949,132	2E+0	
950,641	2E+0	
952,149	2E+0	
953,657	2E+0	
955,166	2E+0	
956,675	2E+0	
958,184	2E+0	
959,69	1,99E+0	
961,199	1,99E+0	
962,708	1,99E+0	
964,217	1,99E+0	
965,727	2E+0	
967,237	1,99E+0	
968,746	1,99E+0	
970,255	1,99E+0	
971,764	1,99E+0	
973,273	1,99E+0	
974,781	1,99E+0	
976,29	1,99E+0	
977,799	1,99E+0	
979,307	1,99E+0	
980,814	1,99E+0	
982,321	1,99E+0	
983,83	1,98E+0	
985,339	1,98E+0	
986,848	1,98E+0	
988,357	1,98E+0	
989,866	1,98E+0	
991,375	1,98E+0	
992,884	1,98E+0	
994,393	1,98E+0	
995,899	1,98E+0	
997,408	1,98E+0	
998,917	1,98E+0	
1000,43	1,98E+0	
1001,93	1,97E+0	
1003,44	1,97E+0	
1004,95	1,97E+0	
1006,46	1,97E+0	
1007,97	1,97E+0	
1009,48	1,97E+0	
1010,98	1,97E+0	
1012,49	1,97E+0	
1014	1,97E+0	
1015,51	1,97E+0	
1017,02	1,97E+0	
1018,52	1,97E+0	
1020,03	1,97E+0	
1021,54	1,97E+0	
1023,05	1,97E+0	
1024,56	1,96E+0	
1026,07	1,96E+0	
1027,57	1,96E+0	
1029,08	1,96E+0	
1030,59	1,96E+0	
1032,1	1,96E+0	
1033,61	1,96E+0	
1035,11	1,96E+0	
1036,62	1,96E+0	
1038,13	1,96E+0	
1039,64	1,96E+0	
1041,14	1,96E+0	
1042,65	1,96E+0	
1044,16	1,95E+0	
1045,67	1,95E+0	
1047,18	1,95E+0	
1048,69	1,95E+0	
1050,19	1,95E+0	
1051,7	1,95E+0	
1053,21	1,95E+0	
1054,72	1,95E+0	
1056,23	1,95E+0	
1057,74	1,95E+0	
1059,25	1,95E+0	
1060,76	1,94E+0	
1062,27	1,94E+0	
1063,77	1,94E+0	
1065,28	1,94E+0	
1066,79	1,94E+0	
1068,3	1,94E+0	
1069,81	1,94E+0	
1071,32	1,94E+0	
1072,82	1,94E+0	
1074,33	1,94E+0	
1075,84	1,94E+0	
1077,35	1,94E+0	
1078,86	1,93E+0	
1080,36	1,93E+0	
1081,87	1,93E+0	
1083,38	1,93E+0	
1084,89	1,93E+0	
1086,39	1,93E+0	
1087,9	1,93E+0	
1089,41	1,93E+0	
1090,92	1,93E+0	
1092,42	1,93E+0	
1093,93	1,93E+0	
1095,44	1,93E+0	
1096,95	1,93E+0	
1098,46	1,93E+0	
1099,96	1,92E+0	
1101,47	1,92E+0	
1102,98	1,92E+0	
1104,49	1,92E+0	
1106	1,92E+0	
1107,51	1,92E+0	
1109,02	1,92E+0	
1110,52	1,92E+0	
1112,03	1,92E+0	
1113,54	1,92E+0	
1115,05	1,91E+0	
1116,56	1,91E+0	
1118,07	1,91E+0	
1119,57	1,91E+0	
1121,08	1,91E+0	
1122,59	1,91E+0	
1124,1	1,91E+0	
1125,61	1,91E+0	
1127,11	1,91E+0	
1128,62	1,91E+0	
1130,13	1,91E+0	
1131,64	1,91E+0	
1133,15	1,91E+0	
1134,66	1,9E+0	
1136,17	1,9E+0	
1137,67	1,9E+0	
1139,18	1,9E+0	
1140,69	1,9E+0	
1142,2	1,9E+0	
1143,7	1,9E+0	
1145,21	1,9E+0	
1146,72	1,9E+0	
1148,23	1,9E+0	
1149,74	1,9E+0	
1151,25	1,89E+0	
1152,76	1,89E+0	
1154,27	1,89E+0	
1155,77	1,89E+0	
1157,28	1,89E+0	
1158,79	1,89E+0	
1160,3	1,89E+0	
1161,81	1,89E+0	
1163,31	1,89E+0	
1164,82	1,89E+0	
1166,33	1,89E+0	
1167,84	1,89E+0	
1169,35	1,89E+0	
1170,85	1,89E+0	
1172,36	1,89E+0	
1173,87	1,89E+0	
1175,38	1,88E+0	
1176,89	1,88E+0	
1178,4	1,88E+0	
1179,9	1,88E+0	
1181,41	1,88E+0	
1182,92	1,88E+0	
1184,43	1,88E+0	
1185,94	1,88E+0	
1187,44	1,88E+0	
1188,95	1,88E+0	
1190,46	1,88E+0	
1191,97	1,88E+0	
1193,48	1,88E+0	
1194,99	1,88E+0	
1196,5	1,87E+0	
1198	1,87E+0	
1199,51	1,87E+0	
1201,02	1,87E+0	
1202,53	1,87E+0	
1204,04	1,87E+0	
1205,54	1,87E+0	
1207,05	1,87E+0	
1208,56	1,87E+0	
1210,07	1,86E+0	
1211,57	1,86E+0	
1213,08	1,86E+0	
1214,59	1,86E+0	
1216,1	1,86E+0	
1217,61	1,86E+0	
1219,11	1,86E+0	
1220,62	1,86E+0	
1222,13	1,86E+0	
1223,63	1,86E+0	
1225,15	1,85E+0	
1226,65	1,85E+0	
1228,16	1,85E+0	
1229,67	1,85E+0	
1231,18	1,85E+0	
1232,69	1,85E+0	
1234,2	1,85E+0	
1235,7	1,85E+0	
1237,21	1,85E+0	
1238,72	1,85E+0	
1240,23	1,85E+0	
1241,74	1,85E+0	
1243,25	1,85E+0	
1244,76	1,85E+0	
1246,26	1,85E+0	
1247,77	1,85E+0	
1249,28	1,84E+0	
1250,79	1,84E+0	
1252,3	1,84E+0	
1253,81	1,84E+0	
1255,32	1,84E+0	
1256,83	1,84E+0	
1258,34	1,84E+0	
1259,84	1,84E+0	
1261,35	1,84E+0	
1262,86	1,84E+0	
1264,37	1,84E+0	
1265,88	1,83E+0	
1267,39	1,84E+0	
1268,9	1,84E+0	
1270,4	1,83E+0	
1271,91	1,83E+0	
1273,42	1,83E+0	
1274,93	1,83E+0	
1276,44	1,83E+0	
1277,95	1,83E+0	
1279,45	1,83E+0	
1280,96	1,83E+0	
1282,47	1,83E+0	
1283,98	1,83E+0	
1285,49	1,83E+0	
1287	1,83E+0	
1288,51	1,83E+0	
1290,01	1,82E+0	
1291,52	1,82E+0	
1293,03	1,82E+0	
1294,54	1,83E+0	
1296,05	1,82E+0	
1297,55	1,82E+0	
1299,06	1,82E+0	
1300,57	1,82E+0	
1302,08	1,82E+0	
1303,58	1,82E+0	
1305,09	1,82E+0	
1306,6	1,82E+0	
1308,11	1,81E+0	
1309,61	1,81E+0	
1311,13	1,82E+0	
1312,64	1,81E+0	
1314,14	1,81E+0	
1315,65	1,81E+0	
1317,16	1,81E+0	
1318,67	1,81E+0	
1320,17	1,81E+0	
1321,68	1,81E+0	
1323,19	1,81E+0	
1324,7	1,81E+0	
1326,2	1,81E+0	
1327,71	1,81E+0	
1329,22	1,81E+0	
1330,73	1,81E+0	
1332,24	1,81E+0	
1333,75	1,81E+0	
1335,26	1,8E+0	
1336,77	1,8E+0	
1338,27	1,8E+0	
1339,78	1,8E+0	
1341,29	1,8E+0	
1342,8	1,8E+0	
1344,31	1,8E+0	
1345,82	1,8E+0	
1347,33	1,8E+0	
1348,84	1,8E+0	
1350,35	1,8E+0	
1351,85	1,8E+0	
1353,36	1,79E+0	
1354,87	1,79E+0	
1356,38	1,79E+0	
1357,89	1,79E+0	
1359,4	1,79E+0	
1360,9	1,79E+0	
1362,41	1,79E+0	
1363,92	1,79E+0	
1365,43	1,79E+0	
1366,94	1,79E+0	
1368,45	1,79E+0	
1369,96	1,79E+0	
1371,46	1,79E+0	
1372,97	1,79E+0	
1374,48	1,79E+0	
1375,99	1,79E+0	
1377,5	1,78E+0	
1379,01	1,78E+0	
1380,52	1,78E+0	
1382,02	1,78E+0	
1383,53	1,78E+0	
1385,04	1,78E+0	
1386,55	1,78E+0	
1388,06	1,78E+0	
1389,57	1,78E+0	
1391,08	1,78E+0	
1392,58	1,78E+0	
1394,09	1,78E+0	
1395,6	1,78E+0	
1397,11	1,78E+0	
1398,62	1,77E+0	
1400,12	1,77E+0	
